AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
TBMNC-BLD801-FL01-10C-AP0062,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175038 seconds ago
TBMNC-BLD802-FL01-AP0577,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,541175 seconds ago
TBMNC-BLD802-FL01-AP0590,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174547 seconds ago
TBMNC-BLD801-FL01-15C-AP0103,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175187 seconds ago
TBMNC-BLD802-FL01-15A-AP0454,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174390 seconds ago
TBMNC-BLD802-FL01-AP0547,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174516 seconds ago
TBMNC-BLD801-FL01-AP0210,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175186 seconds ago
TBMNC-BLD801-FL01-AP0207,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174961 seconds ago
TBMNC-BLD802-FL01-3F-AP0370,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174461 seconds ago
TBMNC-BLD802-FL01-25B-AP0527,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865042 seconds ago
TBMNC-BLD802-FL01-8F-AP0410,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174394 seconds ago
TBMNC-BLD802-FL01-AP0581,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174380 seconds ago
TBMNC-BLD802-FL01-13D-AP0441,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,1174468 seconds ago
TBMNC-BLD802-FL01-11B-AP0427,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174650 seconds ago
TBMNC-BLD802-FL01-18B-AP0478,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,527319 seconds ago
TBMNC-BLD802-FL01-7F-AP0402,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174588 seconds ago
TBMNC-BLD801-FL01-AP0209,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174927 seconds ago
TBMNC-BLD801-FL01-AP0165,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174974 seconds ago
TBMNC-BLD802-FL01-4D-AP0376,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174405 seconds ago
TBMNC-BLD801-FL01-AP0281,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175391 seconds ago
TBMNC-GRDH-FL01-AP001,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1032603 seconds ago
TBMNC-BLD802-FL01-8E-AP0409,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174683 seconds ago
TBMNC-BLD802-FL01-7E-AP0401,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174376 seconds ago
